,country,weapon,date,text
552,Oman , AIM-9X Block II SIDEWINDER All-Up-Round Missiles," June 13, 2012 ","['WASHINGTON, June 13, 2012 – The Defense Security Cooperation Agency notified Congress on June 12 of a possible Foreign Military Sale to the Government of Oman for 55…']"
553,Norway , C-130J-30 Aircraft," June 7, 2012 ","['WASHINGTON, June 7, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Norway for 2 C-…']"
554,Republic of Korea , CBU-105D/B Sensor Fuzed Weapons," June 4, 2012 ","['WASHINGTON, June 4, 2012 – The Defense Security Cooperation Agency notified Congress June 1 of a possible Foreign Military Sale to the Government of the Republic of…']"
555,Finland , Army Tactical Missile Systems M-39 Block 1A," June 4, 2012 ","['WASHINGTON, June 4, 2012 – The Defense Security Cooperation Agency notified Congress June 1 of a possible Foreign Military Sale to the Government of Finland for 70 M-…']"
556,Republic of Korea , UGM-84L HARPOON Missiles," May 22, 2012 ","['WASHINGTON, May 22, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Korea for 18 UGM-…']"
557,Bangladesh , C-130E Aircraft," May 22, 2012 ","['WASHINGTON, May 22, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Bangladesh to…']"
558,Australia , EA-18G Airborne Electronic Attack (AEA) Aircraft Modification Kits," May 22, 2012 ","['WASHINGTON, May 22, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Australia for 12…']"
559,Korea , MH-60R SEAHAWK Multi-Mission Helicopters," May 16, 2012 ","['WASHINGTON, May 16, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of the Republic of…']"
560,Japan , F-35 Joint Strike Fighter Aircraft," May 1, 2012 ","['WASHINGTON, May 1, 2012 – The Defense Security Cooperation Agency notified Congress April 30 of a possible Foreign Military Sale to the Government of Japan for a…']"
561,Singapore , F-15SG Pilot Training," May 1, 2012 ","['WASHINGTON, May 1, 2012 – The Defense Security Cooperation Agency notified Congress April 30 of a possible Foreign Military Sale to the Government of Singapore of a…']"
562,United Kingdom , F117-PW-100 Engines," March 7, 2012 ","['WASHINGTON, March 7, 2012 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the United Kingdom of 20 F-117-PW-…']"
563,Kuwait , AIM-9X-2 SIDEWINDER Missiles," Feb. 27, 2012 ","['WASHINGTON, Feb. 27, 2012 – The Defense Security Cooperation Agency notified Congress Feb. 24 of a possible Foreign Military Sale to Kuwait of 80 AIM-9X-2 SIDEWINDER…']"
564,Japan , KC-130R Aircraft," Feb. 21, 2012 ","['WASHINGTON, Feb. 21, 2012 – The Defense Security Cooperation Agency notified Congress Feb. 16 of a possible Foreign Military Sale to Japan to provide regeneration,…']"
565,Poland , F-16 Follow-On Support and Additional Munitions," Feb. 3, 2012 ","['WASHINGTON, Feb. 3, 2012 – The Defense Security Cooperation Agency notified Congress Feb. 2 of a possible Foreign Military Sale to Poland of F-16 support and…']"
566,Saudi Arabia , Engineering Services Program (ESP)," Dec. 23, 2011 ","['WASHINGTON, Dec. 23, 2011 – The Defense Security Cooperation Agency notified Congress Dec. 22 of a possible Foreign Military Sale to the Kingdom of Saudi Arabia of…']"
567,Australia , C-27J Aircraft and Related Support," Dec. 19, 2011 ","['WASHINGTON, Dec. 19, 2011 – The Defense Security Cooperation Agency notified Congress Dec. 16 of a possible Foreign Military Sale to the Government of Australia for…']"
568,United Arab Emirates , JAVELIN Anti-Tank Missiles," Dec. 16, 2011 ","['WASHINGTON, Dec. 16, 2011 – The Defense Security Cooperation Agency notified Congress Dec. 14 of a possible Foreign Military Sale to the Government of the United Arab…']"
569,Iraq F,16 Aircraft," Dec. 12, 2011 ","['WASHINGTON, Dec. 12, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Iraq for 18 F-…']"
570,Hungary , UH-1N Helicopters," Dec. 8, 2011 ","['WASHINGTON, Dec. 8, 2011 – The Defense Security Cooperation Agency notified Congress Dec. 6 of a possible Foreign Military Sale to the Government of Hungary for the…']"
571,United Arab Emirates , Joint Direct Attack Munitions," Nov. 30, 2011 ","['WASHINGTON, Nov. 30, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of the United Arab…']"
572,Indonesia , Regeneration and Upgrade of F-16C/D Block 25 Aircraft," Nov. 17, 2011 ","['WASHINGTON, Nov. 17, 2011 – The Defense Security Cooperation Agency notified Congress Nov. 16 of a possible Foreign Military Sale to the Government of Indonesia for…']"
573,United Kingdom , Electromagnetic Aircraft Launch System Long Lead Sub-Assemblies," Nov. 15, 2011 ","['WASHINGTON, Nov. 15, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of the United…']"
574,Australia , C-17 GLOBEMASTER III Aircraft," Nov. 15, 2011 ","['WASHINGTON, Nov. 15, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Australia for one…']"
575,Kuwait , Technical/Logistics Support for F/A-18 Aircraft," Nov. 8, 2011 ","['WASHINGTON, Nov. 8, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Kuwait for…']"
576,Malaysia , AIM-9X-2 SIDEWINDER Missiles," Nov. 8, 2011 ","['WASHINGTON, Nov. 8, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Malaysia for 20…']"
577,Peru , Refurbishment of Two C-130E Aircraft," Nov. 8, 2011 ","['WASHINGTON, Nov. 8, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Peru for the…']"
578,Finland , AGM-158 Joint Air-to-Surface Standoff Missiles (JASSM)," Oct. 31, 2011 ","['WASHINGTON, Oct. 31, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 28 of a possible Foreign Military Sale to the Government of Finland for 70…']"
579,Finland , Reprogrammable Micro-Processor (RMP) Block 1 Anti-Aircraft Missiles," Oct. 31, 2011 ","['WASHINGTON, Oct. 31, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 28 of a possible Foreign Military Sale to the Government of Finland for 600…']"
580,Turkey , AH-1W SUPER COBRA Attack Helicopters," Oct. 28, 2011 ","['WASHINGTON, Oct. 28, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Turkey for three…']"
581,Saudi Arabia ," M1151A1-B1, M1152A1-B2 HMMWVs"," Oct. 27, 2011 ","['WASHINGTON, Oct. 27, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 26 of a possible Foreign Military Sale to the Kingdom of Saudi Arabia for…']"
582,India , C-130J Aircraft," Oct. 27, 2011 ","['WASHINGTON, Oct. 27, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 26 of a possible Foreign Military Sale to the Government of India for six…']"
583,Oman , AVENGER Fire Units/STINGER Missiles/Surface-Launched AMRAAM," Oct. 19, 2011 ","['WASHINGTON, Oct. 19, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 18 of a possible Foreign Military Sale to the Government of Oman for…']"
584,Argentina , C-130H Avionics Upgrade," Oct. 19, 2011 ","['WASHINGTON, Oct. 19, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 18 of a possible Foreign Military Sale to the Government of Argentina for…']"
585,France ,Upgrade of E-2C HAWKEYE Aircraft," Oct. 19, 2011 ","['WASHINGTON, Oct. 19, 2011 – The Defense Security Cooperation Agency notified Congress Oct. 18 of a possible Foreign Military Sale to the Government of France for the…']"
586,Iraq , Howitzer Ammunition," Oct. 14, 2011 ","['WASHINGTON, Oct. 14, 2011 – The Defense Security Cooperation Agency notified Congress Oct 5 of a possible Foreign Military Sale to the Government of Iraq for various…']"
587,Ecuador , SH-2G Helicopters," September 27, 2011 ","['WASHINGTON, September 27, 2011 -- The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Ecuador of…']"
588,United Arab Emirates , MIDS/LVT LINK 16 Terminals," September 22, 2011 ","['WASHINGTON, September 22, 2011 -- The Defense Security Cooperation Agency notified Congress Wednesday of a possible Foreign Military Sale to the United Arab Emirates…']"
589,Qatar , MH-60R SEAHAWK Multi-Mission Helicopters," September 22, 2011 ","['WASHINGTON, September 22, 2011 -- The Defense Security Cooperation Agency notified Congress Wednesday of a possible Foreign Military Sale to the Government of Qatar…']"
590,United Arab Emirates , AGM-114R3 HELLFIRE Missiles," September 22, 2011 ","['WASHINGTON, September 22, 2011 -- The Defense Security Cooperation Agency notified Congress Wednesday of a possible Foreign Military Sale to the United Arab Emirates…']"
591,Taipei Economic and Cultural Representative Office in the United States , Foreign Military Sales Order II (FMSO II)," September 21, 2011 ","['Defense Security Cooperation Agency\nWASHINGTON, September 21, 2011 -- The Defense Security Cooperation Agency notified Congress today of a possible Foreign…']"
592,Taipei Economic and Cultural Representative Office in the United States , Retrofit of F-16A/B Aircraft," September 21, 2011 ","['WASHINGTON, September 21, 2011 -- The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Taipei Economic and…']"
593,Taipei Economic and Cultural Representative Office in the United States , Pilot Training Program," September 21, 2011 ","['Defense Security Cooperation Agency\nWASHINGTON, September 21, 2011 -- The Defense Security Cooperation Agency notified Congress today of a possible Foreign…']"
594,Kingdom of Saudi Arabia ," Howitzers, Radars, Ammunition, and Related Support"," September 19, 2011 ","['WASHINGTON, September 19, 2011 – The Defense Security Cooperation Agency notified Congress Thursday of a possible Foreign Military Sale to the Kingdom of Saudi Arabia…']"
595,Bahrain , M1152A1B2 HMMWVs and TOW-2A and TOW-2B Missiles," September 14, 2011 ","['WASHINGTON, September 14, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Bahrain for…']"
596,Norway , Procure and Install Equipment on P-3C Aircraft," August 31, 2011 ","['WASHINGTON, August 31, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Norway for the…']"
597,Peru , NATO SEASPARROW Surface Missile Systems," August 25, 2011 ","['WASHINGTON, August 25, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Peru for four…']"
598,Poland , Service Life Extension Program for ex-FFG-7 Class Frigates," July 26, 2011 ","['WASHINGTON, July 26, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Poland worth an…']"
599,Egypt , Co-production of M1A1 Abrams Tank," July 5, 2011 ","['WASHINGTON, July 5, 2011 – The Defense Security Cooperation Agency notified Congress Friday of a possible Foreign Military Sale to the Government of Egypt for 125…']"
600,United Kingdom , Ship’s Signal Exploitation Equipment (SSEE) Increment F," June 30, 2011 ","['WASHINGTON, June 30, 2011 – The Defense Security Cooperation Agency notified Congress Wednesday of a possible Foreign Military Sale to the Government of the United…']"
601,Iraq , Follow-On Support and Maintenance of Multiple Aircraft Systems," June 29, 2011 ","['WASHINGTON, June 29, 2011 – The Defense Security Cooperation Agency notified Congress today of a possible Foreign Military Sale to the Government of Iraq for follow-…']"
602,India , MK-54 Lightweight Torpedoes," June 27, 2011 ","['WASHINGTON, June 27, 2011 – The Defense Security Cooperation Agency notified Congress Friday of a possible Foreign Military Sale to the Government of India for 32 MK-…']"
603,Morocco , SENTINEL AN/MPQ-64F1 Radars," June 24, 2011 ","['WASHINGTON, June 24, 2011 – The Defense Security Cooperation Agency notified Congress Thursday of a possible Foreign Military Sale to the Government of Morocco of…']"
604,United Arab Emirates , UH-60M BLACKHAWK Helicopters," June 24, 2011 ","['WASHINGTON, June 24, 2011 – The Defense Security Cooperation Agency notified Congress Thursday of a possible Foreign Military Sale to the Government of the United…']"
605,Germany , Tornado Aircraft Training and Logistics Support," June 16, 2011 ","['WASHINGTON, June 16, 2011 – The Defense Security Cooperation Agency notified Congress Wednesday of a possible Foreign Military Sale to the Government of Germany for…']"
606,Saudi Arabia , Light Armored Vehicles," June 13, 2011 ","['WASHINGTON, June 13, 2011 – The Defense Security Cooperation Agency notified Congress Friday of a possible Foreign Military Sale to the Government of Saudi Arabia of…']"
